0/0	0:02:33
0/0	0:07:33
0/0	0:12:33
0/0	0:17:33
0/0	0:22:33
0/0	0:27:33
0/0	0:32:33
0/0	0:37:33
0/0	0:42:33
0/0	0:47:33
0/0	0:52:33
0/0	0:57:33
0/0	1:02:33
0/0	1:07:33
0/0	1:12:33
0/0	1:17:33
0/0	1:22:33
0/0	1:27:33
0/0	1:32:33
0/0	1:37:33
0/0	1:42:33
0/0	1:47:33
0/0	1:52:33
0/0	1:57:33
0/0	2:02:33
0/0	2:07:33
0/0	2:12:33
0/0	2:17:33
0/0	2:22:33
0/0	2:27:33
0/0	2:32:33
0/0	2:37:33
0/0	2:42:33
0/0	2:47:33
0/0	2:52:33
0/0	2:57:33
0/0	3:02:33
0/0	3:07:33
0/0	3:12:33
0/0	3:17:33
0/0	3:22:33
0/0	3:27:33
0/0	3:32:33
0/0	3:37:33
0/0	3:42:33
0/0	3:47:33
0/0	3:52:33
0/0	3:57:33
0/0	4:02:33
0/0	4:07:33
0/0	4:12:33
0/0	4:17:33
0/0	4:22:33
0/0	4:27:33
0/0	4:32:33
0/0	4:37:33
0/0	4:42:33
0/0	4:47:33
0/0	4:52:33
0/0	4:57:33
0/0	5:02:33
0/0	5:07:33
0/0	5:12:33
0/0	5:17:33
0/0	5:22:33
0/0	5:27:33
0/0	5:32:32
0/0	5:37:32
0/0	5:42:32
0/0	5:47:32
0/0	5:52:32
0/0	5:57:32
0/0	6:02:32
0/0	6:07:32
0/0	6:12:32
0/0	6:17:32
0/0	6:22:32
0/0	6:27:32
0/0	6:32:32
0/0	6:37:32
0/0	6:42:32
0/0	6:47:32
0/0	6:52:32
0/0	6:57:32
0/0	7:02:32
0/0	7:07:32
0/0	7:12:32
0/0	7:17:32
0/0	7:22:32
0/0	7:27:32
0/0	7:32:32
0/0	7:37:32
0/0	7:42:32
0/0	7:47:32
0/0	7:52:33
0/0	7:57:32
0/0	8:02:32
0/0	8:07:32
0/0	8:12:32
0/0	8:17:32
0/0	8:22:32
0/0	8:27:32
0/0	8:32:32
0/0	8:37:32
0/0	8:42:32
0/0	8:47:32
0/0	8:52:32
0/0	8:57:32
0/0	9:02:32
0/0	9:07:32
0/0	9:12:32
0/0	9:17:32
0/0	9:22:32
0/0	9:27:32
0/0	9:32:32
0/0	9:37:32
0/0	9:42:32
0/0	9:47:32
0/0	9:52:32
0/0	9:57:32
0/0	10:02:32
0/0	10:07:32
0/0	10:12:32
0/0	10:17:32
0/0	10:22:32
0/0	10:27:32
0/0	10:32:32
0/0	10:37:32
0/0	10:42:32
0/0	10:47:32
0/0	10:52:32
0/0	10:57:32
0/0	11:02:32
0/0	11:07:32
0/0	11:12:32
0/0	11:17:32
0/0	11:22:32
0/0	11:27:32
0/0	11:32:32
0/0	11:37:32
0/0	11:42:32
1/1	11:47:32
1/1	11:52:32
1/1	11:57:32
0/1	12:02:32
1/1	12:07:32
0/1	12:12:32
1/1	12:17:32
1/1	12:22:32
0/1	12:27:32
1/1	12:32:32
1/1	12:37:32
1/1	12:42:32
1/1	12:47:32
0/1	12:52:32
0/0	12:57:32
0/0	13:02:32
0/0	13:07:32
0/0	13:12:32
0/0	13:17:32
0/0	13:22:32
0/0	13:27:32
0/0	13:32:32
0/0	13:37:32
0/0	13:42:32
0/0	13:47:32
0/0	13:52:32
0/0	13:57:32
0/0	14:02:32
0/0	14:07:32
